	task1	task2	task3	task4	task5	
core1	1743	1055	1182	1411	355	
core2	595	1133	784	1415	1587	
core3	501	578	603	776	1415	
core4	1236	1728	1442	1147	1396	
core5	1132	1306	360	657	1039	

	task1	task2	task3	task4	task5	
core1	992	992	483	1196	1104	
core2	339	306	628	1390	1419	
core3	306	1740	477	683	876	
core4	1096	1603	576	807	1753	
core5	1528	1622	786	925	586	

	task1	task2	task3	task4	task5	
core1	1202	1233	1353	1281	1385	
core2	1540	1660	1345	1658	1059	
core3	537	508	1228	395	1026	
core4	1014	350	1243	1222	1761	
core5	895	1120	458	642	363	

	task1	task2	task3	task4	task5	
core1	1377	1189	702	392	1377	
core2	1478	1716	555	508	920	
core3	1562	1523	1343	1328	1453	
core4	1566	1310	953	1715	890	
core5	759	1256	1679	1536	1505	

	task1	task2	task3	task4	task5	
core1	653	1056	623	617	1180	
core2	835	1332	523	1009	439	
core3	547	1741	1782	1723	611	
core4	742	1167	497	349	545	
core5	1638	1080	566	619	1524	
